4,24,3,24,3,3,3,19,3,3,3,24,24,3,24,24,3,24,24,5
27,22,0,28,0,0,0,0,0,0,0,27,32,0,32,25,0,23,26,25
2,0,0,0,0,20,0,26,0,21,0,28,0,0,0,0,0,0,0,2
27,31,0,30,0,18,0,0,0,18,0,0,0,30,0,23,0,24,0,25
2,0,0,18,0,18,0,19,0,32,19,31,0,18,0,0,0,18,0,2
2,0,29,25,0,28,0,0,0,0,0,0,0,23,31,0,29,22,0,2
18,0,0,28,0,0,0,29,19,32,0,19,0,0,0,0,0,0,0,2
27,21,0,0,0,30,0,0,0,18,0,0,0,0,27,19,19,25,0,2
27,26,19,31,0,23,19,21,0,28,0,23,21,0,23,19,19,22,0,2
2,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,2
11,5,0,14,0,19,19,22,0,0,18,0,0,0,20,19,0,19,19,25
11,10,0,6,0,0,0,0,0,19,32,19,25,0,18,0,0,0,0,2
2,0,0,0,0,5,0,14,0,0,18,0,0,0,23,0,19,19,0,25
11,8,5,0,0,0,0,27,21,0,0,0,18,0,0,0,0,0,0,2
7,10,10,3,3,10,3,10,26,3,3,3,26,3,3,3,3,3,3,6
