4,3,3,3,3,3,3,3,8,8,8,8,3,3,3,3,3,3,3,5
2,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,2
2,0,3,3,3,3,3,0,0,2,2,0,0,3,3,3,3,3,0,2
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,0,0,4,3,5,0,0,0,0,0,0,0,0,4,3,5,0,0,2
2,3,3,9,3,2,0,3,3,2,2,3,3,0,2,3,11,3,3,2
2,0,0,7,3,6,0,0,4,2,2,5,0,0,7,3,6,0,0,2
2,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,2
2,0,0,0,0,0,3,0,2,4,5,2,0,3,0,0,0,0,0,2
2,0,3,0,3,0,0,0,7,10,10,6,0,0,0,3,0,3,0,2
2,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,0,2
2,3,0,3,0,0,3,3,3,3,3,3,3,3,0,0,3,0,3,2
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,0,0,3,0,0,0,0,3,3,3,3,0,0,0,0,3,0,0,2
7,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,6
