4,3,3,3,8,8,8,8,8,8,8,8,8,8,8,8,3,3,3,5
2,1,1,1,1,2,1,7,6,10,10,7,6,1,2,1,1,1,1,2
2,1,6,7,1,1,1,1,1,3,5,1,1,1,1,1,6,7,1,2
2,1,6,7,1,11,3,9,1,1,2,1,11,3,9,1,6,7,1,2
2,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,2
11,5,1,1,1,3,9,1,2,2,1,2,1,11,3,1,1,1,4,9
11,3,2,1,2,1,1,1,2,1,1,2,1,1,1,2,1,2,3,9
11,3,3,2,1,1,3,3,9,1,2,11,3,3,1,1,2,3,3,9
11,3,2,1,2,1,1,1,2,1,1,2,1,1,1,2,1,2,3,9
11,6,1,1,1,3,9,1,2,2,1,2,1,11,3,1,1,1,7,9
2,1,1,7,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,2
2,1,6,7,1,11,3,9,1,2,1,1,11,3,9,1,6,7,1,2
2,1,6,7,1,1,1,1,1,7,3,1,1,1,1,1,6,7,1,2
2,1,1,1,1,2,1,4,5,8,8,4,5,1,2,1,1,1,1,2
7,3,3,3,10,10,10,10,10,10,10,10,10,10,10,10,3,3,3,6
